,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
  32800,2022-10-26T21:47:34.073+02:00,   0.202E-01, 715.28589,   0.226E+04
  32900,2022-10-26T21:47:40.926+02:00,   0.217E-01, 717.30880,   0.226E+04
  33000,2022-10-26T21:47:47.808+02:00,   0.234E-01, 719.50181,   0.227E+04
  33100,2022-10-26T21:47:54.674+02:00,   0.202E-01, 721.47835,   0.228E+04
  33200,2022-10-26T21:48:01.534+02:00,   0.205E-01, 723.64700,   0.229E+04
  33300,2022-10-26T21:48:08.424+02:00,   0.191E-01, 725.75978,   0.229E+04
  33400,2022-10-26T21:48:15.260+02:00,   0.231E-01, 727.96426,   0.230E+04
  33500,2022-10-26T21:48:22.139+02:00,   0.237E-01, 730.17703,   0.231E+04
  33600,2022-10-26T21:48:29.043+02:00,   0.186E-01, 732.26980,   0.231E+04
  33700,2022-10-26T21:48:35.907+02:00,   0.193E-01, 734.39486,   0.232E+04
  33800,2022-10-26T21:48:42.756+02:00,   0.229E-01, 736.47118,   0.233E+04
  33900,2022-10-26T21:48:49.619+02:00,   0.200E-01, 738.65539,   0.233E+04
  34000,2022-10-26T21:48:56.430+02:00,   0.220E-01, 740.67345,   0.234E+04
  34100,2022-10-26T21:49:03.283+02:00,   0.217E-01, 742.92436,   0.235E+04
  34200,2022-10-26T21:49:10.171+02:00,   0.175E-01, 744.96660,   0.235E+04
  34300,2022-10-26T21:49:17.036+02:00,   0.229E-01, 747.11828,   0.236E+04
  34400,2022-10-26T21:49:23.915+02:00,   0.213E-01, 749.36287,   0.237E+04
  34500,2022-10-26T21:49:30.779+02:00,   0.209E-01, 751.51781,   0.237E+04
  34600,2022-10-26T21:49:37.669+02:00,   0.194E-01, 753.58209,   0.238E+04
  34700,2022-10-26T21:49:44.475+02:00,   0.194E-01, 755.52663,   0.239E+04
  34800,2022-10-26T21:49:51.344+02:00,   0.225E-01, 757.81197,   0.240E+04
  34900,2022-10-26T21:49:58.227+02:00,   0.199E-01, 759.97301,   0.240E+04
  35000,2022-10-26T21:50:05.089+02:00,   0.215E-01, 762.16666,   0.241E+04
  35100,2022-10-26T21:50:11.971+02:00,   0.229E-01, 764.33612,   0.242E+04
  35200,2022-10-26T21:50:18.787+02:00,   0.205E-01, 766.40109,   0.242E+04
  35300,2022-10-26T21:50:25.624+02:00,   0.244E-01, 768.55884,   0.243E+04
  35400,2022-10-26T21:50:32.491+02:00,   0.232E-01, 770.85880,   0.244E+04
  35500,2022-10-26T21:50:39.368+02:00,   0.201E-01, 773.00334,   0.244E+04
  35600,2022-10-26T21:50:46.249+02:00,   0.235E-01, 775.23969,   0.245E+04
  35700,2022-10-26T21:50:53.114+02:00,   0.207E-01, 777.41456,   0.246E+04
  35800,2022-10-26T21:50:59.971+02:00,   0.244E-01, 779.61041,   0.246E+04
  35900,2022-10-26T21:51:06.839+02:00,   0.194E-01, 781.74485,   0.247E+04
  36000,2022-10-26T21:51:13.678+02:00,   0.190E-01, 783.76934,   0.248E+04
  36100,2022-10-26T21:51:36.476+02:00,   0.221E-01, 785.79299,   0.248E+04
  36200,2022-10-26T21:51:43.325+02:00,   0.197E-01, 787.97299,   0.249E+04
  36300,2022-10-26T21:51:50.221+02:00,   0.210E-01, 790.06326,   0.250E+04
  36400,2022-10-26T21:51:57.060+02:00,   0.210E-01, 792.16279,   0.250E+04
  36500,2022-10-26T21:52:03.919+02:00,   0.206E-01, 794.28502,   0.251E+04
  36600,2022-10-26T21:52:10.781+02:00,   0.196E-01, 796.28924,   0.252E+04
  36700,2022-10-26T21:52:17.649+02:00,   0.213E-01, 798.37636,   0.253E+04
  36800,2022-10-26T21:52:24.513+02:00,   0.231E-01, 800.72560,   0.253E+04
  36900,2022-10-26T21:52:31.424+02:00,   0.233E-01, 802.93414,   0.254E+04
  37000,2022-10-26T21:52:38.309+02:00,   0.179E-01, 805.22377,   0.255E+04
  37100,2022-10-26T21:52:45.182+02:00,   0.212E-01, 807.34725,   0.255E+04
  37200,2022-10-26T21:52:52.062+02:00,   0.252E-01, 809.61047,   0.256E+04
  37300,2022-10-26T21:52:58.955+02:00,   0.194E-01, 811.76754,   0.257E+04
  37400,2022-10-26T21:53:05.837+02:00,   0.205E-01, 813.79264,   0.257E+04
  37500,2022-10-26T21:53:12.685+02:00,   0.197E-01, 815.75036,   0.258E+04
  37600,2022-10-26T21:53:19.529+02:00,   0.235E-01, 817.89070,   0.259E+04
  37700,2022-10-26T21:53:26.419+02:00,   0.188E-01, 820.02453,   0.259E+04
  37800,2022-10-26T21:53:33.295+02:00,   0.221E-01, 822.17664,   0.260E+04
  37900,2022-10-26T21:53:40.143+02:00,   0.218E-01, 824.31473,   0.261E+04
  38000,2022-10-26T21:53:47.015+02:00,   0.204E-01, 826.51126,   0.261E+04
  38100,2022-10-26T21:53:53.865+02:00,   0.225E-01, 828.57564,   0.262E+04
  38200,2022-10-26T21:54:00.753+02:00,   0.228E-01, 830.68529,   0.263E+04
  38300,2022-10-26T21:54:07.574+02:00,   0.205E-01, 832.84856,   0.264E+04
  38400,2022-10-26T21:54:14.433+02:00,   0.222E-01, 834.99252,   0.264E+04
  38500,2022-10-26T21:54:21.321+02:00,   0.208E-01, 837.06216,   0.265E+04
  38600,2022-10-26T21:54:28.163+02:00,   0.208E-01, 839.14050,   0.266E+04
  38700,2022-10-26T21:54:35.045+02:00,   0.223E-01, 841.29643,   0.266E+04
  38800,2022-10-26T21:54:41.981+02:00,   0.199E-01, 843.50517,   0.267E+04
  38900,2022-10-26T21:54:48.863+02:00,   0.197E-01, 845.66145,   0.268E+04
  39000,2022-10-26T21:54:55.712+02:00,   0.239E-01, 847.77386,   0.268E+04
  39100,2022-10-26T21:55:02.616+02:00,   0.215E-01, 849.98633,   0.269E+04
  39200,2022-10-26T21:55:09.474+02:00,   0.232E-01, 852.17268,   0.270E+04
  39300,2022-10-26T21:55:16.358+02:00,   0.228E-01, 854.30906,   0.270E+04
  39400,2022-10-26T21:55:23.257+02:00,   0.214E-01, 856.52986,   0.271E+04
  39500,2022-10-26T21:55:30.086+02:00,   0.235E-01, 858.82118,   0.272E+04
  39600,2022-10-26T21:55:36.980+02:00,   0.204E-01, 861.14104,   0.272E+04
  39700,2022-10-26T21:55:43.835+02:00,   0.200E-01, 863.29581,   0.273E+04
  39800,2022-10-26T21:55:50.690+02:00,   0.217E-01, 865.37380,   0.274E+04
  39900,2022-10-26T21:55:57.572+02:00,   0.234E-01, 867.61735,   0.275E+04
  40000,2022-10-26T21:56:04.432+02:00,   0.227E-01, 869.84428,   0.275E+04
  40100,2022-10-26T21:56:11.306+02:00,   0.208E-01, 871.98899,   0.276E+04
  40200,2022-10-26T21:56:18.190+02:00,   0.221E-01, 874.10892,   0.277E+04
  40300,2022-10-26T21:56:25.048+02:00,   0.224E-01, 876.34047,   0.277E+04
  40400,2022-10-26T21:56:31.917+02:00,   0.215E-01, 878.51395,   0.278E+04
  40500,2022-10-26T21:56:38.768+02:00,   0.215E-01, 880.66289,   0.279E+04
  40600,2022-10-26T21:56:45.647+02:00,   0.231E-01, 882.75270,   0.279E+04
  40700,2022-10-26T21:56:52.546+02:00,   0.215E-01, 884.92272,   0.280E+04
  40800,2022-10-26T21:56:59.460+02:00,   0.182E-01, 887.11395,   0.281E+04
  40900,2022-10-26T21:57:06.326+02:00,   0.238E-01, 889.16267,   0.281E+04
  41000,2022-10-26T21:57:13.218+02:00,   0.219E-01, 891.42823,   0.282E+04
  41100,2022-10-26T21:57:20.126+02:00,   0.210E-01, 893.57752,   0.283E+04
  41200,2022-10-26T21:57:27.001+02:00,   0.202E-01, 895.85212,   0.283E+04
  41300,2022-10-26T21:57:33.868+02:00,   0.199E-01, 897.91317,   0.284E+04
  41400,2022-10-26T21:57:40.727+02:00,   0.211E-01, 900.04401,   0.285E+04
  41500,2022-10-26T21:57:47.616+02:00,   0.212E-01, 902.15140,   0.286E+04
  41600,2022-10-26T21:57:54.481+02:00,   0.224E-01, 904.43092,   0.286E+04
  41700,2022-10-26T21:58:01.374+02:00,   0.219E-01, 906.53364,   0.287E+04
  41800,2022-10-26T21:58:08.241+02:00,   0.241E-01, 908.73546,   0.288E+04
  41900,2022-10-26T21:58:15.113+02:00,   0.201E-01, 910.88131,   0.288E+04
  42000,2022-10-26T21:58:22.004+02:00,   0.218E-01, 913.04049,   0.289E+04
  42100,2022-10-26T21:58:28.889+02:00,   0.215E-01, 915.13496,   0.290E+04
  42200,2022-10-26T21:58:35.768+02:00,   0.229E-01, 917.25987,   0.290E+04
  42300,2022-10-26T21:58:42.668+02:00,   0.204E-01, 919.52100,   0.291E+04
  42400,2022-10-26T21:58:49.511+02:00,   0.225E-01, 921.69705,   0.292E+04
  42500,2022-10-26T21:58:56.383+02:00,   0.221E-01, 923.89675,   0.292E+04
  42600,2022-10-26T21:59:03.285+02:00,   0.235E-01, 926.10076,   0.293E+04
  42700,2022-10-26T21:59:10.155+02:00,   0.229E-01, 928.36016,   0.294E+04
  42800,2022-10-26T21:59:17.018+02:00,   0.248E-01, 930.63761,   0.294E+04
  42900,2022-10-26T21:59:23.922+02:00,   0.230E-01, 932.85016,   0.295E+04
  43000,2022-10-26T21:59:48.461+02:00,   0.214E-01, 935.02833,   0.296E+04
  43100,2022-10-26T21:59:55.288+02:00,   0.212E-01, 937.02507,   0.297E+04
  43200,2022-10-26T22:00:02.151+02:00,   0.229E-01, 939.30765,   0.297E+04
  43300,2022-10-26T22:00:09.016+02:00,   0.196E-01, 941.40616,   0.298E+04
  43400,2022-10-26T22:00:15.822+02:00,   0.215E-01, 943.36705,   0.299E+04
  43500,2022-10-26T22:00:22.686+02:00,   0.258E-01, 945.65287,   0.299E+04
  43600,2022-10-26T22:00:29.578+02:00,   0.190E-01, 947.64752,   0.300E+04
  43700,2022-10-26T22:00:36.445+02:00,   0.226E-01, 949.80597,   0.301E+04
  43800,2022-10-26T22:00:43.334+02:00,   0.196E-01, 951.89211,   0.301E+04
  43900,2022-10-26T22:00:50.167+02:00,   0.216E-01, 953.91287,   0.302E+04
  44000,2022-10-26T22:00:57.046+02:00,   0.239E-01, 956.05471,   0.303E+04
  44100,2022-10-26T22:01:03.923+02:00,   0.211E-01, 958.16743,   0.303E+04
  44200,2022-10-26T22:01:10.790+02:00,   0.197E-01, 960.24534,   0.304E+04
  44300,2022-10-26T22:01:17.667+02:00,   0.234E-01, 962.49556,   0.305E+04
  44400,2022-10-26T22:01:24.601+02:00,   0.225E-01, 964.74423,   0.305E+04
  44500,2022-10-26T22:01:31.492+02:00,   0.198E-01, 966.83442,   0.306E+04
  44600,2022-10-26T22:01:38.348+02:00,   0.215E-01, 968.75393,   0.307E+04
  44700,2022-10-26T22:01:45.237+02:00,   0.204E-01, 970.93536,   0.308E+04
  44800,2022-10-26T22:01:52.130+02:00,   0.216E-01, 973.17922,   0.308E+04
  44900,2022-10-26T22:01:59.006+02:00,   0.190E-01, 975.15153,   0.309E+04
  45000,2022-10-26T22:02:05.894+02:00,   0.239E-01, 977.36750,   0.310E+04
  45100,2022-10-26T22:02:12.800+02:00,   0.225E-01, 979.55937,   0.310E+04
  45200,2022-10-26T22:02:19.648+02:00,   0.225E-01, 981.80746,   0.311E+04
  45300,2022-10-26T22:02:26.557+02:00,   0.240E-01, 983.96713,   0.312E+04
  45400,2022-10-26T22:02:33.463+02:00,   0.209E-01, 986.10641,   0.312E+04
  45500,2022-10-26T22:02:40.350+02:00,   0.220E-01, 988.47188,   0.313E+04
  45600,2022-10-26T22:02:47.238+02:00,   0.239E-01, 990.78531,   0.314E+04
  45700,2022-10-26T22:02:54.083+02:00,   0.210E-01, 993.02979,   0.314E+04
  45800,2022-10-26T22:03:00.957+02:00,   0.228E-01, 995.05242,   0.315E+04
  45900,2022-10-26T22:03:07.836+02:00,   0.222E-01, 997.07094,   0.316E+04
  46000,2022-10-26T22:03:14.732+02:00,   0.254E-01,    999.33,   0.316E+04
  46100,2022-10-26T22:03:21.627+02:00,   0.225E-01,   1001.65,   0.317E+04
  46200,2022-10-26T22:03:28.520+02:00,   0.221E-01,   1003.76,   0.318E+04
  46300,2022-10-26T22:03:35.412+02:00,   0.192E-01,   1005.95,   0.319E+04
  46400,2022-10-26T22:03:42.273+02:00,   0.232E-01,   1008.17,   0.319E+04
  46500,2022-10-26T22:03:49.197+02:00,   0.223E-01,   1010.37,   0.320E+04
  46600,2022-10-26T22:03:56.080+02:00,   0.196E-01,   1012.42,   0.321E+04
  46700,2022-10-26T22:04:02.938+02:00,   0.213E-01,   1014.62,   0.321E+04
  46800,2022-10-26T22:04:09.836+02:00,   0.206E-01,   1016.81,   0.322E+04
  46900,2022-10-26T22:04:16.708+02:00,   0.202E-01,   1018.92,   0.323E+04
  47000,2022-10-26T22:04:23.593+02:00,   0.218E-01,   1021.10,   0.323E+04
  47100,2022-10-26T22:04:30.487+02:00,   0.235E-01,   1023.22,   0.324E+04
  47200,2022-10-26T22:04:37.403+02:00,   0.222E-01,   1025.43,   0.325E+04
  47300,2022-10-26T22:04:44.285+02:00,   0.221E-01,   1027.56,   0.325E+04
  47400,2022-10-26T22:04:51.200+02:00,   0.193E-01,   1029.80,   0.326E+04
  47500,2022-10-26T22:04:58.031+02:00,   0.213E-01,   1031.76,   0.327E+04
  47600,2022-10-26T22:05:04.891+02:00,   0.209E-01,   1033.76,   0.327E+04
  47700,2022-10-26T22:05:11.792+02:00,   0.227E-01,   1035.93,   0.328E+04
  47800,2022-10-26T22:05:18.698+02:00,   0.220E-01,   1038.19,   0.329E+04
  47900,2022-10-26T22:05:25.589+02:00,   0.207E-01,   1040.43,   0.330E+04
  48000,2022-10-26T22:05:32.491+02:00,   0.210E-01,   1042.74,   0.330E+04
  48100,2022-10-26T22:05:39.384+02:00,   0.209E-01,   1044.79,   0.331E+04
  48200,2022-10-26T22:05:46.297+02:00,   0.237E-01,   1047.08,   0.332E+04
  48300,2022-10-26T22:05:53.217+02:00,   0.202E-01,   1049.22,   0.332E+04
  48400,2022-10-26T22:06:00.069+02:00,   0.222E-01,   1051.34,   0.333E+04
  48500,2022-10-26T22:06:06.944+02:00,   0.220E-01,   1053.46,   0.334E+04
  48600,2022-10-26T22:06:13.847+02:00,   0.228E-01,   1055.70,   0.334E+04
  48700,2022-10-26T22:06:20.699+02:00,   0.224E-01,   1057.80,   0.335E+04
  48800,2022-10-26T22:06:27.609+02:00,   0.196E-01,   1060.05,   0.336E+04
  48900,2022-10-26T22:06:34.496+02:00,   0.202E-01,   1062.11,   0.336E+04
  49000,2022-10-26T22:06:41.343+02:00,   0.217E-01,   1064.39,   0.337E+04
  49100,2022-10-26T22:06:48.212+02:00,   0.234E-01,   1066.50,   0.338E+04
  49200,2022-10-26T22:06:55.142+02:00,   0.217E-01,   1068.77,   0.339E+04
  49300,2022-10-26T22:07:01.995+02:00,   0.214E-01,   1071.00,   0.339E+04
  49400,2022-10-26T22:07:08.888+02:00,   0.207E-01,   1073.09,   0.340E+04
  49500,2022-10-26T22:07:15.793+02:00,   0.193E-01,   1075.20,   0.341E+04
  49600,2022-10-26T22:07:22.620+02:00,   0.208E-01,   1077.22,   0.341E+04
  49700,2022-10-26T22:07:29.478+02:00,   0.187E-01,   1079.25,   0.342E+04
  49800,2022-10-26T22:07:36.339+02:00,   0.249E-01,   1081.28,   0.343E+04
  49900,2022-10-26T22:07:43.229+02:00,   0.193E-01,   1083.53,   0.343E+04
  50000,2022-10-26T22:07:50.098+02:00,   0.210E-01,   1085.58,   0.344E+04
  50100,2022-10-26T22:07:57.018+02:00,   0.219E-01,   1087.66,   0.345E+04
  50200,2022-10-26T22:08:03.894+02:00,   0.205E-01,   1089.95,   0.345E+04
  50300,2022-10-26T22:08:10.780+02:00,   0.201E-01,   1092.01,   0.346E+04
  50400,2022-10-26T22:08:17.641+02:00,   0.201E-01,   1094.03,   0.347E+04
  50500,2022-10-26T22:08:24.471+02:00,   0.199E-01,   1096.20,   0.347E+04
  50600,2022-10-26T22:08:31.349+02:00,   0.193E-01,   1098.37,   0.348E+04
  50700,2022-10-26T22:08:38.224+02:00,   0.233E-01,   1100.53,   0.349E+04
  50800,2022-10-26T22:08:45.137+02:00,   0.194E-01,   1102.62,   0.350E+04
  50900,2022-10-26T22:08:52.037+02:00,   0.207E-01,   1104.77,   0.350E+04
  51000,2022-10-26T22:08:58.923+02:00,   0.182E-01,   1106.84,   0.351E+04
  51100,2022-10-26T22:09:05.798+02:00,   0.203E-01,   1109.05,   0.352E+04
  51200,2022-10-26T22:09:12.673+02:00,   0.243E-01,   1111.23,   0.352E+04
  51300,2022-10-26T22:09:19.577+02:00,   0.203E-01,   1113.29,   0.353E+04
  51400,2022-10-26T22:09:26.458+02:00,   0.177E-01,   1115.35,   0.354E+04
  51500,2022-10-26T22:09:33.298+02:00,   0.236E-01,   1117.47,   0.354E+04
  51600,2022-10-26T22:09:40.180+02:00,   0.233E-01,   1119.65,   0.355E+04
  51700,2022-10-26T22:09:47.067+02:00,   0.206E-01,   1121.82,   0.356E+04
  51800,2022-10-26T22:09:53.948+02:00,   0.219E-01,   1123.92,   0.356E+04
  51900,2022-10-26T22:10:00.854+02:00,   0.215E-01,   1126.11,   0.357E+04
  52000,2022-10-26T22:10:07.717+02:00,   0.237E-01,   1128.32,   0.358E+04
  52100,2022-10-26T22:10:14.589+02:00,   0.212E-01,   1130.48,   0.358E+04
  52200,2022-10-26T22:10:21.496+02:00,   0.200E-01,   1132.69,   0.359E+04
  52300,2022-10-26T22:10:28.379+02:00,   0.191E-01,   1134.83,   0.360E+04
  52400,2022-10-26T22:10:35.247+02:00,   0.225E-01,   1136.99,   0.361E+04
  52500,2022-10-26T22:10:42.143+02:00,   0.209E-01,   1139.02,   0.361E+04
  52600,2022-10-26T22:10:49.042+02:00,   0.228E-01,   1141.29,   0.362E+04
  52700,2022-10-26T22:10:55.946+02:00,   0.222E-01,   1143.54,   0.363E+04
  52800,2022-10-26T22:11:02.853+02:00,   0.219E-01,   1145.83,   0.363E+04
  52900,2022-10-26T22:11:09.718+02:00,   0.239E-01,   1147.97,   0.364E+04
  53000,2022-10-26T22:11:16.614+02:00,   0.202E-01,   1150.05,   0.365E+04
  53100,2022-10-26T22:11:23.487+02:00,   0.238E-01,   1152.23,   0.365E+04
  53200,2022-10-26T22:11:30.376+02:00,   0.208E-01,   1154.16,   0.366E+04
  53300,2022-10-26T22:11:37.280+02:00,   0.201E-01,   1156.41,   0.367E+04
  53400,2022-10-26T22:11:44.153+02:00,   0.218E-01,   1158.41,   0.367E+04
  53500,2022-10-26T22:11:51.017+02:00,   0.233E-01,   1160.64,   0.368E+04
  53600,2022-10-26T22:11:57.911+02:00,   0.229E-01,   1162.82,   0.369E+04
  53700,2022-10-26T22:12:04.827+02:00,   0.200E-01,   1164.91,   0.369E+04
  53800,2022-10-26T22:12:11.688+02:00,   0.217E-01,   1166.92,   0.370E+04
  53900,2022-10-26T22:12:18.558+02:00,   0.230E-01,   1169.06,   0.371E+04
  54000,2022-10-26T22:12:25.462+02:00,   0.221E-01,   1171.23,   0.372E+04
  54100,2022-10-26T22:12:32.364+02:00,   0.221E-01,   1173.40,   0.372E+04
  54200,2022-10-26T22:12:39.279+02:00,   0.173E-01,   1175.61,   0.373E+04
  54300,2022-10-26T22:12:46.133+02:00,   0.207E-01,   1177.54,   0.374E+04
  54400,2022-10-26T22:12:52.999+02:00,   0.219E-01,   1179.80,   0.374E+04
  54500,2022-10-26T22:12:59.879+02:00,   0.230E-01,   1182.00,   0.375E+04
  54600,2022-10-26T22:13:06.756+02:00,   0.205E-01,   1184.06,   0.376E+04
  54700,2022-10-26T22:13:13.656+02:00,   0.224E-01,   1186.30,   0.376E+04
  54800,2022-10-26T22:13:20.501+02:00,   0.177E-01,   1188.30,   0.377E+04
  54900,2022-10-26T22:13:27.363+02:00,   0.236E-01,   1190.36,   0.378E+04
  55000,2022-10-26T22:13:34.249+02:00,   0.205E-01,   1192.55,   0.378E+04
  55100,2022-10-26T22:13:41.103+02:00,   0.226E-01,   1194.80,   0.379E+04
  55200,2022-10-26T22:13:48.010+02:00,   0.218E-01,   1196.96,   0.380E+04
  55300,2022-10-26T22:13:54.910+02:00,   0.229E-01,   1199.00,   0.380E+04
  55400,2022-10-26T22:14:01.778+02:00,   0.205E-01,   1201.19,   0.381E+04
  55500,2022-10-26T22:14:08.644+02:00,   0.221E-01,   1203.29,   0.382E+04
  55600,2022-10-26T22:14:15.505+02:00,   0.189E-01,   1205.28,   0.383E+04
  55700,2022-10-26T22:14:22.382+02:00,   0.200E-01,   1207.39,   0.383E+04
  55800,2022-10-26T22:14:29.245+02:00,   0.233E-01,   1209.37,   0.384E+04
  55900,2022-10-26T22:14:36.133+02:00,   0.250E-01,   1211.56,   0.385E+04
  56000,2022-10-26T22:14:43.008+02:00,   0.196E-01,   1213.74,   0.385E+04
  56100,2022-10-26T22:14:49.879+02:00,   0.204E-01,   1215.77,   0.386E+04
  56200,2022-10-26T22:14:56.731+02:00,   0.186E-01,   1217.82,   0.387E+04
  56300,2022-10-26T22:15:03.590+02:00,   0.251E-01,   1220.00,   0.387E+04
  56400,2022-10-26T22:15:10.503+02:00,   0.207E-01,   1222.12,   0.388E+04
  56500,2022-10-26T22:15:17.400+02:00,   0.200E-01,   1224.41,   0.389E+04
  56600,2022-10-26T22:15:24.251+02:00,   0.219E-01,   1226.43,   0.389E+04
  56700,2022-10-26T22:15:31.180+02:00,   0.208E-01,   1228.78,   0.390E+04
  56800,2022-10-26T22:15:38.036+02:00,   0.200E-01,   1230.88,   0.391E+04
  56900,2022-10-26T22:15:44.908+02:00,   0.212E-01,   1232.90,   0.391E+04
  57000,2022-10-26T22:15:51.803+02:00,   0.221E-01,   1234.99,   0.392E+04
  57100,2022-10-26T22:15:58.693+02:00,   0.231E-01,   1237.16,   0.393E+04
  57200,2022-10-26T22:16:05.568+02:00,   0.228E-01,   1239.38,   0.394E+04
  57300,2022-10-26T22:16:12.487+02:00,   0.212E-01,   1241.56,   0.394E+04
  57400,2022-10-26T22:16:19.355+02:00,   0.212E-01,   1243.68,   0.395E+04
  57500,2022-10-26T22:16:26.196+02:00,   0.212E-01,   1245.80,   0.396E+04
  57600,2022-10-26T22:16:33.082+02:00,   0.233E-01,   1247.97,   0.396E+04
  57700,2022-10-26T22:16:39.981+02:00,   0.203E-01,   1250.09,   0.397E+04
  57800,2022-10-26T22:16:46.876+02:00,   0.192E-01,   1252.16,   0.398E+04
  57900,2022-10-26T22:16:53.749+02:00,   0.212E-01,   1254.26,   0.398E+04
  58000,2022-10-26T22:17:00.649+02:00,   0.224E-01,   1256.44,   0.399E+04
  58100,2022-10-26T22:17:07.541+02:00,   0.217E-01,   1258.58,   0.400E+04
  58200,2022-10-26T22:17:14.447+02:00,   0.214E-01,   1260.85,   0.400E+04
  58300,2022-10-26T22:17:21.319+02:00,   0.184E-01,   1262.88,   0.401E+04
  58400,2022-10-26T22:17:28.158+02:00,   0.245E-01,   1264.97,   0.402E+04
  58500,2022-10-26T22:17:35.068+02:00,   0.234E-01,   1267.03,   0.403E+04
  58600,2022-10-26T22:17:41.962+02:00,   0.206E-01,   1269.36,   0.403E+04
  58700,2022-10-26T22:17:48.811+02:00,   0.226E-01,   1271.42,   0.404E+04
  58800,2022-10-26T22:17:55.705+02:00,   0.220E-01,   1273.56,   0.405E+04
  58900,2022-10-26T22:18:02.564+02:00,   0.239E-01,   1275.66,   0.405E+04
  59000,2022-10-26T22:18:09.478+02:00,   0.232E-01,   1277.93,   0.406E+04
  59100,2022-10-26T22:18:16.391+02:00,   0.205E-01,   1279.98,   0.407E+04
  59200,2022-10-26T22:18:23.302+02:00,   0.194E-01,   1282.01,   0.407E+04
  59300,2022-10-26T22:18:30.178+02:00,   0.186E-01,   1284.02,   0.408E+04
  59400,2022-10-26T22:18:37.062+02:00,   0.202E-01,   1286.04,   0.409E+04
  59500,2022-10-26T22:18:43.904+02:00,   0.223E-01,   1288.17,   0.409E+04
  59600,2022-10-26T22:18:50.736+02:00,   0.214E-01,   1290.26,   0.410E+04
  59700,2022-10-26T22:18:57.617+02:00,   0.190E-01,   1292.41,   0.411E+04
  59800,2022-10-26T22:19:04.452+02:00,   0.186E-01,   1294.43,   0.411E+04
  59900,2022-10-26T22:19:11.281+02:00,   0.225E-01,   1296.49,   0.412E+04
  60000,2022-10-26T22:19:18.156+02:00,   0.215E-01,   1298.54,   0.413E+04
  60100,2022-10-26T22:19:25.043+02:00,   0.211E-01,   1300.72,   0.414E+04
  60200,2022-10-26T22:19:31.901+02:00,   0.227E-01,   1302.94,   0.414E+04
  60300,2022-10-26T22:19:38.782+02:00,   0.224E-01,   1305.06,   0.415E+04
  60400,2022-10-26T22:19:45.656+02:00,   0.240E-01,   1307.07,   0.416E+04
  60500,2022-10-26T22:19:52.577+02:00,   0.218E-01,   1309.33,   0.416E+04
  60600,2022-10-26T22:19:59.460+02:00,   0.215E-01,   1311.41,   0.417E+04
  60700,2022-10-26T22:20:06.325+02:00,   0.206E-01,   1313.56,   0.418E+04
  60800,2022-10-26T22:20:13.206+02:00,   0.241E-01,   1315.70,   0.418E+04
  60900,2022-10-26T22:20:20.113+02:00,   0.232E-01,   1318.00,   0.419E+04
  61000,2022-10-26T22:20:27.005+02:00,   0.221E-01,   1320.29,   0.420E+04
  61100,2022-10-26T22:20:33.890+02:00,   0.216E-01,   1322.55,   0.420E+04
  61200,2022-10-26T22:20:40.785+02:00,   0.213E-01,   1324.64,   0.421E+04
  61300,2022-10-26T22:20:47.700+02:00,   0.217E-01,   1326.81,   0.422E+04
  61400,2022-10-26T22:20:54.583+02:00,   0.211E-01,   1328.94,   0.422E+04
  61500,2022-10-26T22:21:01.479+02:00,   0.223E-01,   1331.10,   0.423E+04
  61600,2022-10-26T22:21:08.336+02:00,   0.197E-01,   1333.17,   0.424E+04
  61700,2022-10-26T22:21:15.210+02:00,   0.234E-01,   1335.28,   0.425E+04
  61800,2022-10-26T22:21:22.112+02:00,   0.205E-01,   1337.46,   0.425E+04
  61900,2022-10-26T22:21:29.003+02:00,   0.223E-01,   1339.55,   0.426E+04
  62000,2022-10-26T22:21:35.931+02:00,   0.197E-01,   1341.65,   0.427E+04
  62100,2022-10-26T22:21:42.844+02:00,   0.244E-01,   1343.87,   0.427E+04
  62200,2022-10-26T22:21:49.740+02:00,   0.229E-01,   1346.14,   0.428E+04
  62300,2022-10-26T22:21:56.616+02:00,   0.202E-01,   1348.23,   0.429E+04
  62400,2022-10-26T22:22:03.509+02:00,   0.199E-01,   1350.42,   0.429E+04
  62500,2022-10-26T22:22:10.381+02:00,   0.210E-01,   1352.47,   0.430E+04
  62600,2022-10-26T22:22:17.243+02:00,   0.189E-01,   1354.66,   0.431E+04
  62700,2022-10-26T22:22:24.115+02:00,   0.206E-01,   1356.66,   0.431E+04
  62800,2022-10-26T22:22:30.953+02:00,   0.202E-01,   1358.84,   0.432E+04
  62900,2022-10-26T22:22:37.807+02:00,   0.199E-01,   1360.90,   0.433E+04
  63000,2022-10-26T22:22:44.706+02:00,   0.191E-01,   1363.01,   0.433E+04
  63100,2022-10-26T22:22:51.547+02:00,   0.210E-01,   1365.10,   0.434E+04
  63200,2022-10-26T22:22:58.422+02:00,   0.204E-01,   1367.07,   0.435E+04
  63300,2022-10-26T22:23:05.284+02:00,   0.204E-01,   1369.11,   0.436E+04
  63400,2022-10-26T22:23:12.174+02:00,   0.216E-01,   1371.16,   0.436E+04
  63500,2022-10-26T22:23:19.043+02:00,   0.237E-01,   1373.35,   0.437E+04
  63600,2022-10-26T22:23:25.934+02:00,   0.234E-01,   1375.55,   0.438E+04
  63700,2022-10-26T22:23:32.812+02:00,   0.203E-01,   1377.68,   0.438E+04
