Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,BLNK,HVAC,GEOM,VEGE,Total T_USED (s)
    0, 1.334E+02, 7.940E+02, 3.287E+02, 6.530E+02, 1.329E+02, 2.870E+02, 6.571E+01, 0.000E+00, 3.662E+02, 2.297E+01, 4.448E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    1, 1.529E+02, 6.687E+02, 2.820E+02, 5.571E+02, 1.200E+02, 2.587E+02, 5.114E+01, 0.000E+00, 3.239E+02, 1.494E+01, 7.994E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    2, 4.716E+01, 7.818E+02, 3.271E+02, 7.089E+02, 1.266E+02, 3.362E+02, 6.443E+01, 0.000E+00, 3.658E+02, 1.384E+01, 4.570E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    3, 1.000E+02, 8.268E+02, 3.419E+02, 6.682E+02, 1.382E+02, 2.925E+02, 6.570E+01, 0.000E+00, 3.802E+02, 1.669E+01, 3.985E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    4, 1.079E+02, 7.473E+02, 3.155E+02, 6.471E+02, 1.238E+02, 2.653E+02, 5.907E+01, 0.000E+00, 3.489E+02, 1.479E+01, 5.992E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    5, 7.354E+01, 7.380E+02, 3.133E+02, 6.747E+02, 1.196E+02, 3.084E+02, 5.969E+01, 0.000E+00, 3.427E+02, 1.332E+01, 5.855E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    6, 2.213E+02, 5.262E+02, 2.286E+02, 5.015E+02, 1.106E+02, 1.866E+02, 3.762E+01, 0.000E+00, 2.693E+02, 2.072E+01, 1.126E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
    7, 2.435E+02, 4.860E+02, 2.188E+02, 4.350E+02, 8.314E+01, 1.544E+02, 3.717E+01, 0.000E+00, 2.422E+02, 8.337E+01, 1.245E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 3.229E+03
